Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Kapasitet i kø (MW),Kundens ønskede dato for tilknytning,Kundens referanse,Kunde og tilknytningsansvarlig
25/02563,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,S Lauritzen & Co AS,Transport,09.11.2025,"1,6",01.10.2025,,Heidi Hellesvik Ringstad
25/02588,Stokmarknes,Nord,NO4,Noranett AS,STOKMARKNES MILJØHAVN AS,Annet forbruk,29.02.2024,3,01.10.2026,,Lars Erik Johansen
25/02589,Stokmarknes,Nord,NO4,Noranett AS,STOKMARKNES MILJØHAVN AS,Annet forbruk,29.02.2024,4,01.10.2026,,Lars Erik Johansen
25/02590,Stokmarknes,Nord,NO4,Noranett AS,NORDLAKS EIENDOM AS,Oppdrettsnæring,09.02.2024,"5,6",01.04.2026,,Lars Erik Johansen
25/02592,Melbu,Nord,NO4,Noranett AS,NORDLAND FYLKESKOMMUNE,Transport,01.12.2024,4,01.10.2027,,Lars Erik Johansen
25/02625,Ballangen,Nord,NO4,Nordkraft Industrinett,Aker Nscale,Datasenter,02.11.2025,140,31.10.2027,,Lars Erik Johansen
25/02674,Stokmarknes,Nord,NO4,Noranett AS,Gridcore Energy Storage AS,Batteriproduksjon,22.10.2025,15,01.04.2026,,Lars Erik Johansen
25/02675,Stokmarknes,Nord,NO4,Noranett AS,Gridcore Energy Storage AS,Batteriproduksjon,22.10.2025,15,01.04.2026,,Lars Erik Johansen
25/02680,Stølaheia,Sør Rogaland og Agder,NO2,Lnett AS,Uncap AS,Annet forbruk,13.01.2026,70,01.01.2029,,Ingvild Grøtterud Birkeland
25/02721,Tunnsjødal,Midt,NO4,Tensio AS,JOMA GRUVER AS,Industri,19.12.2025,"4,6",01.01.2028,,Christopher Aarnseth Ruud
25/02724,Klæbu,Midt,NO3,Tensio AS,COOP NORGE SA,Transport,12.09.2025,"1,4",01.10.2025,,Christopher Aarnseth Ruud
25/02772,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Uncap AS,Annet forbruk,22.01.2026,90,01.04.2028,,Heidi Hellesvik Ringstad
25/02803,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,ADVANSIA AS,Annet forbruk,26.01.2026,"1,55",01.01.2026,,Heidi Hellesvik Ringstad
25/02856,Holen,Telemark og Vestfold,NO2,Otra Kraft DA,Otra Kraft DA,Annet forbruk,12.12.2024,"1 500,00",30.12.2025,,Geir Kåsa
25/02857,Rjukan,Telemark og Vestfold,NO2,Hydro Energi As,Hydro Energi As,Annet forbruk,27.03.2025,750,29.09.2024,,Geir Kåsa
25/02859,Rjukan,Telemark og Vestfold,NO2,Statkraft Energi As,STATKRAFT ENERGI AS,Annet forbruk,10.03.2025,900,30.12.2034,,Geir Kåsa
25/02860,Rjukan,Telemark og Vestfold,NO2,Statkraft Energi As,STATKRAFT ENERGI AS,Annet forbruk,29.10.2025,140,01.10.2034,,Geir Kåsa
25/02906,Bjerkreim,Sør Rogaland og Agder,NO2,Lnett AS,EWZ MÅKAKNUTEN VIND AS,Annet forbruk,06.01.2026,7,01.01.2026,,Ingvild Grøtterud Birkeland
25/02922,Klæbu,Midt,NO3,Tensio AS,RIMOL MILJØPARK AS,Industri,20.01.2026,"0,5",01.01.2026,,Christopher Aarnseth Ruud
25/02934,Tveiten,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,06.11.2025,30,29.09.2029,,Geir Kåsa
25/03004,Lindås,Bergen og Haugalandet,NO5,BKK AS,SKIPAVIKA NÆRINGSPARK AS,Datasenter,09.01.2026,45,01.04.2027,,Magnus Tennøe
25/03026,Strinda,Midt,NO3,Tensio AS,STATKRAFT VARME AS,Annet forbruk,13.01.2026,8,01.01.2028,,Christopher Aarnseth Ruud
26/03076,Hof,Telemark og Vestfold,NO2,Lede AS,Norgips Norge AS,Industri,05.01.2026,7,31.12.2026,,Geir Kåsa
26/03112,Hof,Telemark og Vestfold,NO2,Lede AS,Uncap AS,Annet forbruk,12.05.2025,25,30.06.2027,,Geir Kåsa
26/03114,Rød,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,14.11.2024,20,07.03.2026,,Geir Kåsa
26/03116,Rød,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,14.11.2024,5,31.12.2025,,Geir Kåsa
26/03117,Hof,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,19.08.2025,10,30.03.2027,,Geir Kåsa
26/03165,Rød,Telemark og Vestfold,NO2,Lede AS,LØVENSKIOLD-FOSSUM KRAFT DRIFT AS,Datasenter,21.01.2026,96,01.10.2027,,Geir Kåsa
26/03170,Tveiten,Telemark og Vestfold,NO2,Lede AS,MAGNA EIENDOM AS,Datasenter,28.01.2026,80,01.01.2031,,Geir Kåsa
26/03374,Porsgrunn,Telemark og Vestfold,NO2,Lede AS,DRIV EIENDOMSFORVALTNING AS,Annet forbruk,03.02.2026,1,01.04.2026,,Geir Kåsa
