navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
STAKALDEFOSSEN,,,,SUNNFJORD ENERGI AS,61.44560726319089,6.009903039813285
VESTFOSSEN-T,80068,,1953,GLITRE ENERGI NETT AS,59.73288409846378,9.86145882088295
T-LUOSTEJOK,75159,,1993,LUOSTEJOK KRAFTLAG SA,69.82986400159956,25.17617237390666
DJOPVIK TRANSFORMATORSTASJON,,,1986,HÅLOGALAND KRAFT NETT AS,68.7142353159207,16.981614162331446
,,,,,58.78615487323312,5.616662970033783
EKORNSÆTER SEKUNDÆRSTASJON,,,,FINNÅS KRAFTLAG SA,59.79363019281654,5.25795463930367
ÅBJØRA TRAFOSTASJON,,,,ELVIA AS,60.916815051935444,9.379433447583674
FÅBERG TRST,,,1993,ELVIA AS,61.138681632528694,10.421979590702914
HAUGSNESET,80696,,2017,EQUINOR ASA,59.275040354700565,5.5575422224001665
BEGSLE,80690,,1965,LINJA AS,61.97646579896971,5.507860416635953
BØE,79766,,1964,JÆREN EVERK AS,58.548360056494765,5.766967017099736
S4F BROGATA,,,1984,NORGESNETT AS,59.21591033084807,10.932772473385722
BUSTAD,,,,REPVÅG KRAFTLAG SA,70.85873593370695,24.32467196299542
BF TORVDALSHALSEN,,,2001,LOFOTKRAFT AS,68.26315680459237,13.826518951944507
SOLUM OMFORMERSTASJON,81512,,2017,BANE NOR SF,59.07793008270666,9.862796783268621
S3F ØRA,,,,NORGESNETT AS,59.19224304794237,10.955380542800182
TINNESGATA,81025,,1975,TINFOS AS,59.56875307941967,9.262442932848973
BØRØYSUND SEKUNDÆRSTASJON,,,1987,FINNÅS KRAFTLAG SA,59.70574003047686,5.247368487743823
AR VÅTVIKA,,,1986,LOFOTKRAFT AS,68.2358142276702,14.818485775231638
BØRSTAD TRST,,,1983,ELVIA AS,60.79995869781204,11.095754469766476
LUTUFALLET KRV,,,,ELVIA AS,61.06554011226096,12.57921482792386
AS KROKNES,,,1986,LOFOTKRAFT AS,68.26937360946147,14.818492889135742
,,,,,58.893448761057456,5.647989390223966
BB RAMSVIK,,,1991,LOFOTKRAFT AS,68.11096443875124,13.662037215225428
UTSIKTEN KOBLINGSSTASJON,,,1980,HÅLOGALAND KRAFT NETT AS,68.79243585587761,16.51609549283505
CM MARKJORD,,,1985,LOFOTKRAFT AS,68.05056296882557,13.122990674955537
TJELDSUND TRANSFORMATORSTASJON,,,1954,HÅLOGALAND KRAFT NETT AS,68.56298815129479,16.43400050260715
,,,,ANDØY ENERGI NETT AS,68.94885860246687,15.658751601132728
BRUVOLD TRST,,,1983,ELVIA AS,60.92855108984208,10.703696739640717
BD LILAND,,,2002,LOFOTKRAFT AS,68.2287287331477,13.729231051477308
,,,,,58.952247782627886,5.701269186391161
BRÅTAN-T,79761,,2016,GLITRE ENERGI NETT AS,59.758790483967765,10.166416411878517
AJER TRST,,,1983,ELVIA AS,60.810846589936325,11.053944251194963
AU DIGERMULEN,,,1988,LOFOTKRAFT AS,68.30986917034156,14.988614511795854
KROKMYRDALEN T-AVGREINING,80560,,1975,HÅLOGALAND KRAFT NETT AS,68.6642170072411,16.952981001762456
,,,,,58.94478266482384,5.749155100928864
ROPPA KR.VERK,,,,ELVIA AS,61.24033783789304,10.058523021207503
DJUPDAL-L1-T,81023,,1976,GLITRE ENERGI NETT AS,59.94381927070161,9.351795764194854
BC SKIFJORD,,,1987,LOFOTKRAFT AS,68.15495851336718,13.779073861985744
125 BUSKHOLEN,,,,ANDØY ENERGI NETT AS,69.14438789226895,15.759923891919044
,,,,,59.00298903252124,6.081743811652705
SAINT-GOBAIN EYDEHAVN,75166,,1958,FIVEN NORGE AS,58.49841013676653,8.873779834257284
FASLEFOSS KR.VERK,,,,ELVIA AS,60.9570625865654,9.300689487163506
HAGEN,,,2000,SUNNFJORD ENERGI AS,61.12673434193164,4.913904353106398
RAUFOSS TRSF.ST.,,,,ELVIA AS,60.709187886187635,10.607063590482634
BORREGAARD 2,77799,,1970,BORREGAARD AS,59.27621528305565,11.126304594284443
BM SMORTEN,,,2007,LOFOTKRAFT AS,68.26551181425236,14.157060090077188
