saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,reservert_mw,reservert_dato,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
25/02022,Kolsvik,Helgeland og Salten,NO4,Tensio AS,Eco Seafood,Oppdrettsnæring,4.4,2025-03-06,2026-08-31,,Ingvild Grøtterud Birkeland
24/01507,Namsos,Midt,NO3,Tensio AS,ECO Seafood AS,Oppdrettsnæring,4.4,2025-11-01,2026-08-31,,Christopher Aarnseth Ruud
21/00441,Moskog,Sogn og Sunnmøre,NO3,Linja AS,Bulandet Miljøfisk,Oppdrettsnæring,4.0,2021-10-24,2025-12-30,,Hans Olav Ween
23/01237,Kvitnes,Nord,NO4,Noranett AS,Denvo Wolffish Norway AS,Oppdrettsnæring,4.0,2026-01-18,2026-08-31,,Lars Erik Johansen
22/00686,Melbu,Nord,NO4,Noranett AS,Børøya,Industri,4.0,2023-02-06,2027-08-01,,Lars Erik Johansen
25/02503,Kobbvatnet,Helgeland og Salten,NO4,Kystnett As,STATENS VEGVESEN,Transport,3.5,,2028-12-31,,Ingvild Grøtterud Birkeland
23/00868,Moskog,Sogn og Sunnmøre,NO3,Linja AS,EWOS AS,Oppdrettsnæring,3.0,2023-09-21,2026-04-30,,Hans Olav Ween
21/00223,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,3.0,2018-08-21,2026-11-29,,Hans Olav Ween
25/02477,Kilbotn,Nord,NO4,Noranett AS,TROMS FYLKESKOMMUNE,Transport,2.8,2026-01-18,2027-02-28,,Lars Erik Johansen
22/00716,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,Nordland Settefisk,Oppdrettsnæring,2.5,2025-12-19,2025-10-01,,Ingvild Grøtterud Birkeland
24/01655,Kolsvik,Helgeland og Salten,NO4,Linea AS,Brønnøy Kalk,Transport,2.5,2025-03-12,2026-06-29,,Ingvild Grøtterud Birkeland
24/01506,Åfjord,Midt,NO3,Tensio AS,Fossefall AS,Datasenter,2.2,2025-11-14,2026-01-30,,Christopher Aarnseth Ruud
22/00713,Kolsvik,Helgeland og Salten,NO4,Linea AS,Sømna Biogaass,Industri,2.0,2024-02-09,2027-03-30,,Ingvild Grøtterud Birkeland
25/02740,Namsos,Midt,NO3,Tensio AS,MOWI ASA,Oppdrettsnæring,1.8,2026-01-19,2026-01-01,,Christopher Aarnseth Ruud
21/00347,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Bluebite,Datasenter,1.0,2023-06-30,2025-12-30,,Ingvild Grøtterud Birkeland
